Raíz verbal quechua;Raíz verbal español;Persona;Número;Tiempo;Conjugación
puri;caminar;segunda;plural;pasado experimentado simple;qamkuna purirqankichik
puri;caminar;tercera;plural;pasado experimentado simple;paykuna purirqanku
puri;caminar;cuarta;plural;pasado experimentado simple;ñuqayku purirqaniku
puri;caminar;primera;singular;pasado experimentado progresivo;ñuqa purichkarqani
puri;caminar;segunda;singular;pasado experimentado progresivo;qam purichkarqanki
puri;caminar;tercera;singular;pasado experimentado progresivo;pay purichkarqan
puri;caminar;cuarta;singular;pasado experimentado progresivo;
puri;caminar;primera;plural;pasado experimentado progresivo;ñuqanchik purichkarqanchik
puri;caminar;segunda;plural;pasado experimentado progresivo;qamkuna purichkarqankichik
puri;caminar;tercera;plural;pasado experimentado progresivo;paykuna purichkarqanku
puri;caminar;cuarta;plural;pasado experimentado progresivo;ñuqayku purichkarqaniku
puri;caminar;primera;singular;pasado experimentado habitual;ñuqa puriq karqani
puri;caminar;segunda;singular;pasado experimentado habitual;qam puriq karqanki
puri;caminar;tercera;singular;pasado experimentado habitual;pay puriq karqan
puri;caminar;cuarta;singular;pasado experimentado habitual;
puri;caminar;primera;plural;pasado experimentado habitual;ñuqanchik puriq karqanchik
puri;caminar;segunda;plural;pasado experimentado habitual;qamkuna puriq karqankichik
puri;caminar;tercera;plural;pasado experimentado habitual;paykuna puriq karqanku
puri;caminar;cuarta;plural;pasado experimentado habitual;ñuqayku puriq karqaniku
puri;caminar;primera;singular;pasado no experimentado simple;ñuqa purisqani
puri;caminar;segunda;singular;pasado no experimentado simple;qam purisqanki
puri;caminar;tercera;singular;pasado no experimentado simple;pay purisqan
puri;caminar;cuarta;singular;pasado no experimentado simple;
puri;caminar;primera;plural;pasado no experimentado simple;ñuqanchik purisqanchik
puri;caminar;segunda;plural;pasado no experimentado simple;qamkuna purisqankichik
puri;caminar;tercera;plural;pasado no experimentado simple;paykuna purisqank
puri;caminar;cuarta;plural;pasado no experimentado simple;ñuqayku purisqaniku
puri;caminar;primera;singular;pasado no exp. progresivo;ñuqa purichkasqani
puri;caminar;segunda;singular;pasado no exp. progresivo;qam purichkasqanki
puri;caminar;tercera;singular;pasado no exp. progresivo;pay purichkasqan
puri;caminar;cuarta;singular;pasado no exp. progresivo;
puri;caminar;primera;plural;pasado no exp. progresivo;ñuqanchik purichkasqanchik
puri;caminar;segunda;plural;pasado no exp. progresivo;qamkuna purichkasqankichik
puri;caminar;tercera;plural;pasado no exp. progresivo;paykuna purichkasqanku
puri;caminar;cuarta;plural;pasado no exp. progresivo;ñuqayku purichkasqaniku
puri;caminar;primera;singular;pasado no exp. habitual;ñuqa puriq kasqani
puri;caminar;segunda;singular;pasado no exp. habitual;qam puriq kasqanki
puri;caminar;tercera;singular;pasado no exp. habitual;pay puriq kasqan
puri;caminar;cuarta;singular;pasado no exp. habitual;
puri;caminar;primera;plural;pasado no exp. habitual;ñuqanchik puriq kasqanchik
puri;caminar;segunda;plural;pasado no exp. habitual;qamkuna puriq kasqankichik
puri;caminar;tercera;plural;pasado no exp. habitual;paykuna puriq kasqank
